Manufacturer,Model,Capacity,Carrier,Like New Price,Good Price,Fair Price,Minor Damage Price,Damaged Price,Like New Deeplink,Good Deeplink,Fair Deeplink,Minor Damage Deeplink,Damaged Deeplink
Apple,iPhone 11 Pro Max,256GB,Unlocked,155.0,135.0,100.0,45.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/unlocked/256gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/unlocked/256gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/unlocked/256gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/unlocked/256gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/unlocked/256gb/damaged
Apple,iPhone 11 Pro Max,512GB,AT&T,145.0,125.0,90.0,50.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/at-t/512gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/at-t/512gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/at-t/512gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/at-t/512gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/at-t/512gb/damaged
Apple,iPhone 11 Pro Max,512GB,T-Mobile,115.0,95.0,60.0,25.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/t-mobile/512gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/t-mobile/512gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/t-mobile/512gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/t-mobile/512gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/t-mobile/512gb/damaged
Apple,iPhone 11 Pro Max,512GB,Verizon,155.0,145.0,95.0,50.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/verizon/512gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/verizon/512gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/verizon/512gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/verizon/512gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/verizon/512gb/damaged
Apple,iPhone 11 Pro Max,512GB,Unlocked,170.0,150.0,105.0,50.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/unlocked/512gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/unlocked/512gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/unlocked/512gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/unlocked/512gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-11-pro-max/unlocked/512gb/damaged
Apple,iPhone 12,64GB,AT&T,105.0,85.0,50.0,35.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/64gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/64gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/64gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/64gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/64gb/damaged
Apple,iPhone 12,64GB,T-Mobile,75.0,55.0,30.0,15.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/64gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/64gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/64gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/64gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/64gb/damaged
Apple,iPhone 12,64GB,Verizon,115.0,95.0,60.0,35.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/64gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/64gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/64gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/64gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/64gb/damaged
Apple,iPhone 12,64GB,Unlocked,120.0,100.0,65.0,35.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/64gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/64gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/64gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/64gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/64gb/damaged
Apple,iPhone 12,128GB,AT&T,130.0,110.0,70.0,45.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/128gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/128gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/128gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/128gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/128gb/damaged
