partner_ref,product,carrier,memory,storage,processor,price_new,price_mint,price_good,price_fair,price_broken,url
,apple-series-10-gps,aluminum,,46mm,,,110.0,70.0,30.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-10-gps
,apple-series-10-gps-cellular,aluminum,,42mm,,,110.0,70.0,30.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-10-gps-cellular
,apple-series-10-gps-cellular,titanium,,42mm,,,165.0,120.0,65.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-10-gps-cellular
,apple-series-10-gps-cellular,aluminum,,46mm,,,120.0,80.0,40.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-10-gps-cellular
,apple-series-10-gps-cellular,titanium,,46mm,,,175.0,130.0,75.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-10-gps-cellular
,apple-series-11-gps,aluminum,,42mm,,,150.0,120.0,90.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-11-gps
,apple-series-11-gps,aluminum,,46mm,,,160.0,130.0,100.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-11-gps
,apple-series-11-gps-plus-cellular,aluminum,,42mm,,,170.0,140.0,110.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-11-gps-plus-cellular
,apple-series-11-gps-plus-cellular,titanium,,42mm,,,310.0,270.0,200.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-11-gps-plus-cellular
,apple-series-11-gps-plus-cellular,aluminum,,46mm,,,180.0,150.0,120.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-11-gps-plus-cellular
,apple-series-11-gps-plus-cellular,titanium,,46mm,,,325.0,285.0,215.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-11-gps-plus-cellular
,apple-ultra-2,titanium,,49mm,,,210.0,160.0,105.0,,https://www.ocbuyback.com/sell/smartwatch/apple/ultra-2
,apple-ultra-3,titanium,,49mm,,,340.0,275.0,195.0,,https://www.ocbuyback.com/sell/smartwatch/apple/ultra-3
,apple-ipad-air-4th-gen,wi-fi,,64gb,,,180.0,150.0,100.0,40.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-4th-gen-2020
,apple-ipad-air-4th-gen,cellular,,64gb,,,190.0,160.0,115.0,45.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-4th-gen-2020
,apple-ipad-air-4th-gen,wi-fi,,256gb,,,210.0,180.0,135.0,45.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-4th-gen-2020
,apple-ipad-air-4th-gen,cellular,,256gb,,,220.0,190.0,145.0,50.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-4th-gen-2020
,apple-ipad-air-5th-gen,wi-fi,,64gb,,,205.0,170.0,125.0,75.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-5th-gen-2022
,apple-ipad-air-5th-gen,cellular,,64gb,,,220.0,185.0,140.0,80.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-5th-gen-2022
,apple-ipad-air-5th-gen,wi-fi,,256gb,,,245.0,210.0,165.0,80.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-5th-gen-2022
,apple-ipad-air-5th-gen,cellular,,256gb,,,260.0,225.0,180.0,85.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-5th-gen-2022
,apple-ipad-mini-5,wi-fi,,64gb,,,85.0,75.0,50.0,15.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-5th-gen-2019
,apple-ipad-mini-5,cellular,,64gb,,,95.0,85.0,60.0,20.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-5th-gen-2019
,apple-ipad-mini-5,wi-fi,,256gb,,,125.0,105.0,65.0,20.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-5th-gen-2019
