variant_id,condition,price,enabled
37,Minor Damage,0.0,False
37,Broken,0.0,False
38,Brand New,0.0,False
38,Flawless,0.0,False
38,Good,0.0,False
38,Fair,0.0,False
38,Minor Damage,0.0,False
38,Broken,0.0,False
39,Brand New,0.0,False
39,Flawless,0.0,False
39,Good,0.0,False
39,Fair,0.0,False
39,Minor Damage,0.0,False
39,Broken,0.0,False
40,Brand New,0.0,False
40,Flawless,0.0,False
40,Good,0.0,False
40,Fair,0.0,False
40,Minor Damage,0.0,False
40,Broken,0.0,False
41,Brand New,0.0,False
41,Flawless,0.0,False
41,Good,0.0,False
41,Fair,0.0,False
41,Minor Damage,0.0,False
41,Broken,0.0,False
42,Brand New,0.0,False
42,Flawless,0.0,False
42,Good,0.0,False
42,Fair,0.0,False
42,Minor Damage,0.0,False
42,Broken,0.0,False
43,Brand New,0.0,False
43,Flawless,0.0,False
43,Good,0.0,False
43,Fair,0.0,False
43,Minor Damage,0.0,False
43,Broken,0.0,False
44,Brand New,0.0,False
44,Flawless,0.0,False
44,Good,0.0,False
44,Fair,0.0,False
44,Minor Damage,0.0,False
44,Broken,0.0,False
45,Brand New,0.0,False
45,Flawless,0.0,False
45,Good,0.0,False
45,Fair,0.0,False
45,Minor Damage,0.0,False
45,Broken,0.0,False
46,Brand New,0.0,False
46,Flawless,0.0,False
46,Good,0.0,False
46,Fair,0.0,False
46,Minor Damage,0.0,False
46,Broken,0.0,False
47,Brand New,0.0,False
47,Flawless,0.0,False
47,Good,0.0,False
47,Fair,0.0,False
47,Minor Damage,0.0,False
47,Broken,0.0,False
48,Brand New,0.0,False
48,Flawless,0.0,False
48,Good,0.0,False
48,Fair,0.0,False
48,Minor Damage,0.0,False
48,Broken,0.0,False
49,Brand New,0.0,False
49,Flawless,0.0,False
49,Good,0.0,False
49,Fair,0.0,False
49,Minor Damage,0.0,False
49,Broken,0.0,False
50,Brand New,0.0,False
50,Flawless,0.0,False
50,Good,0.0,False
50,Fair,0.0,False
50,Minor Damage,0.0,False
50,Broken,0.0,False
51,Brand New,0.0,False
51,Flawless,0.0,False
51,Good,0.0,False
51,Fair,0.0,False
51,Minor Damage,0.0,False
51,Broken,0.0,False
52,Brand New,0.0,False
