category,model,model_slug,processor,memory
Macbook,"MacBook Pro 15"" (2010)",macbook-pro-15-2010,i5 2.4GHz,4GB
Macbook,"MacBook Pro 15"" (2010)",macbook-pro-15-2010,i5 2.4GHz,8GB
Macbook,"MacBook Pro 15"" (2010)",macbook-pro-15-2010,i5 2.53GHz,4GB
Macbook,"MacBook Pro 15"" (2010)",macbook-pro-15-2010,i5 2.53GHz,8GB
Macbook,"MacBook Pro 15"" (2010)",macbook-pro-15-2010,i7 2.66GHz,4GB
Macbook,"MacBook Pro 15"" (2010)",macbook-pro-15-2010,i7 2.66GHz,8GB
Macbook,"MacBook Pro 17"" (2009)",macbook-pro-17-2009,Core 2 Duo 2.8GHz,4GB
Macbook,"MacBook Pro 15"" (2009)",macbook-pro-15-2009,Core 2 Duo 2.53GHz,4GB
Macbook,"MacBook Pro 15"" (2009)",macbook-pro-15-2009,Core 2 Duo 2.53GHz,8GB
Macbook,"MacBook Pro 15"" (2009)",macbook-pro-15-2009,Core 2 Duo 2.66GHz,4GB
Macbook,"MacBook Pro 15"" (2009)",macbook-pro-15-2009,Core 2 Duo 2.66GHz,8GB
Macbook,"MacBook Pro 15"" (2009)",macbook-pro-15-2009,Core 2 Duo 2.8GHz,4GB
Macbook,"MacBook Pro 15"" (2009)",macbook-pro-15-2009,Core 2 Duo 2.8GHz,8GB
Macbook,"MacBook Air 15"" (2024)",macbook-air-15-2024,M3 8-Core CPU 10-Core GPU,16GB
Macbook,"MacBook Air 15"" (2024)",macbook-air-15-2024,M3 8-Core CPU 10-Core GPU,24GB
Macbook,"MacBook Air 15"" (2024)",macbook-air-15-2024,M3 8-Core CPU 10-Core GPU,8GB
Macbook,"MacBook Air 15"" (2024)",macbook-air-15-2024,M3 8-Core CPU 8-Core GPU,16GB
Macbook,"MacBook Air 15"" (2024)",macbook-air-15-2024,M3 8-Core CPU 8-Core GPU,24GB
Macbook,"MacBook Air 15"" (2024)",macbook-air-15-2024,M3 8-Core CPU 8-Core GPU,8GB
Macbook,"MacBook Air 13"" (2024)",macbook-air-13-2024,M3 8-Core CPU 10-Core GPU,16GB
Macbook,"MacBook Air 13"" (2024)",macbook-air-13-2024,M3 8-Core CPU 10-Core GPU,24GB
Macbook,"MacBook Air 13"" (2024)",macbook-air-13-2024,M3 8-Core CPU 10-Core GPU,8GB
Macbook,"MacBook Air 13"" (2024)",macbook-air-13-2024,M3 8-Core CPU 8-Core GPU,16GB
Macbook,"MacBook Air 13"" (2024)",macbook-air-13-2024,M3 8-Core CPU 8-Core GPU,24GB
Macbook,"MacBook Air 13"" (2024)",macbook-air-13-2024,M3 8-Core CPU 8-Core GPU,8GB
Macbook,"MacBook Air 15"" (2023)",macbook-air-15-2023,M2 8-Core CPU 10-Core GPU,16GB
Macbook,"MacBook Air 15"" (2023)",macbook-air-15-2023,M2 8-Core CPU 10-Core GPU,24GB
Macbook,"MacBook Air 15"" (2023)",macbook-air-15-2023,M2 8-Core CPU 10-Core GPU,8GB
Macbook,"MacBook Air 13"" (2022)",macbook-air-13-2022,M2 8-Core CPU 10-Core GPU,16GB
Macbook,"MacBook Air 13"" (2022)",macbook-air-13-2022,M2 8-Core CPU 10-Core GPU,24GB
Macbook,"MacBook Air 13"" (2022)",macbook-air-13-2022,M2 8-Core CPU 10-Core GPU,8GB
Macbook,"MacBook Air 13"" (2022)",macbook-air-13-2022,M2 8-Core CPU 8-Core GPU,16GB
Macbook,"MacBook Air 13"" (2022)",macbook-air-13-2022,M2 8-Core CPU 8-Core GPU,24GB
Macbook,"MacBook Air 13"" (2022)",macbook-air-13-2022,M2 8-Core CPU 8-Core GPU,8GB
Macbook,"MacBook Air 13"" (2020)",macbook-air-13-2020,i3 1.1GHz,16GB
Macbook,"MacBook Air 13"" (2020)",macbook-air-13-2020,i3 1.1GHz,8GB
Macbook,"MacBook Air 13"" (2020)",macbook-air-13-2020,i5 1.1GHz,16GB
Macbook,"MacBook Air 13"" (2020)",macbook-air-13-2020,i5 1.1GHz,8GB
Macbook,"MacBook Air 13"" (2020)",macbook-air-13-2020,i5 1.6GHz,16GB
Macbook,"MacBook Air 13"" (2020)",macbook-air-13-2020,i5 1.6GHz,8GB
Macbook,"MacBook Air 13"" (2020)",macbook-air-13-2020,i7 1.2GHz,16GB
Macbook,"MacBook Air 13"" (2020)",macbook-air-13-2020,i7 1.2GHz,8GB
Macbook,"MacBook Air 13"" (2020)",macbook-air-13-2020,M1 3.2GHz 7-Core GPU,16GB
Macbook,"MacBook Air 13"" (2020)",macbook-air-13-2020,M1 3.2GHz 7-Core GPU,8GB
Macbook,"MacBook Air 13"" (2020)",macbook-air-13-2020,M1 3.2GHz 8-Core GPU,16GB
Macbook,"MacBook Air 13"" (2020)",macbook-air-13-2020,M1 3.2GHz 8-Core GPU,8GB
Macbook,"MacBook Air 13"" (2019)",macbook-air-13-2019,i5 1.6GHz,16GB
Macbook,"MacBook Air 13"" (2019)",macbook-air-13-2019,i5 1.6GHz,8GB
Macbook,"MacBook Air 13"" (2018)",macbook-air-13-2018,i5 1.6GHz,16GB
Macbook,"MacBook Air 13"" (2018)",macbook-air-13-2018,i5 1.6GHz,8GB
Macbook,"MacBook Air 13"" (2017)",macbook-air-13-2017,i5 1.8GHz,4GB
Macbook,"MacBook Air 13"" (2017)",macbook-air-13-2017,i5 1.8GHz,8GB
Macbook,"MacBook Air 13"" (2017)",macbook-air-13-2017,i7 2.2GHz,4GB
Macbook,"MacBook Air 13"" (2017)",macbook-air-13-2017,i7 2.2GHz,8GB
Macbook,"MacBook Air 13"" (2015)",macbook-air-13-2015,i5 1.6GHz,4GB
Macbook,"MacBook Air 13"" (2015)",macbook-air-13-2015,i5 1.6GHz,8GB
Macbook,"MacBook Air 13"" (2015)",macbook-air-13-2015,i7 1.3GHz,4GB
Macbook,"MacBook Air 13"" (2015)",macbook-air-13-2015,i7 2.2GHz,4GB
Macbook,"MacBook Air 13"" (2015)",macbook-air-13-2015,i7 2.2GHz,8GB
Macbook,"MacBook Air 11"" (2015)",macbook-air-11-2015,i5 1.6GHz,4GB
Macbook,"MacBook Air 11"" (2015)",macbook-air-11-2015,i5 1.6GHz,8GB
Macbook,"MacBook Air 11"" (2015)",macbook-air-11-2015,i7 2.2GHz,4GB
Macbook,"MacBook Air 11"" (2015)",macbook-air-11-2015,i7 2.2GHz,8GB
Macbook,"MacBook Air 13"" (2014)",macbook-air-13-2014,i5 1.4GHz,4GB
Macbook,"MacBook Air 13"" (2014)",macbook-air-13-2014,i5 1.4GHz,8GB
Macbook,"MacBook Air 13"" (2014)",macbook-air-13-2014,i7 1.7GHz,4GB
Macbook,"MacBook Air 13"" (2014)",macbook-air-13-2014,i7 1.7GHz,8GB
Macbook,"MacBook Air 11"" (2014)",macbook-air-11-2014,i5 1.4GHz,4GB
Macbook,"MacBook Air 11"" (2014)",macbook-air-11-2014,i5 1.4GHz,8GB
Macbook,"MacBook Air 11"" (2014)",macbook-air-11-2014,i7 1.7GHz,4GB
Macbook,"MacBook Air 11"" (2014)",macbook-air-11-2014,i7 1.7GHz,8GB
Macbook,"MacBook Air 13"" (2013)",macbook-air-13-2013,i5 1.3GHz,4GB
Macbook,"MacBook Air 13"" (2013)",macbook-air-13-2013,i5 1.3GHz,8GB
Macbook,"MacBook Air 13"" (2013)",macbook-air-13-2013,i5 1.4GHz,4GB
Macbook,"MacBook Air 13"" (2013)",macbook-air-13-2013,i5 1.4GHz,8GB
Macbook,"MacBook Air 13"" (2013)",macbook-air-13-2013,i7 1.7GHz,4GB
Macbook,"MacBook Air 13"" (2013)",macbook-air-13-2013,i7 1.7GHz,8GB
Macbook,"MacBook Air 11"" (2013)",macbook-air-11-2013,i5 1.3GHz,4GB
Macbook,"MacBook Air 11"" (2013)",macbook-air-11-2013,i5 1.3GHz,8GB
Macbook,"MacBook Air 11"" (2013)",macbook-air-11-2013,i7 1.7GHz,4GB
Macbook,"MacBook Air 11"" (2013)",macbook-air-11-2013,i7 1.7GHz,8GB
Macbook,"MacBook Air 13"" (2012)",macbook-air-13-2012,i5 1.7GHz,4GB
Macbook,"MacBook Air 13"" (2012)",macbook-air-13-2012,i5 1.8GHz,4GB
Macbook,"MacBook Air 13"" (2012)",macbook-air-13-2012,i5 1.8GHz,8GB
Macbook,"MacBook Air 13"" (2012)",macbook-air-13-2012,i7 2.0GHz,4GB
Macbook,"MacBook Air 13"" (2012)",macbook-air-13-2012,i7 2.0GHz,8GB
Macbook,"MacBook Air 11"" (2012)",macbook-air-11-2012,i5 1.7GHz,4GB
Macbook,"MacBook Air 11"" (2012)",macbook-air-11-2012,i5 1.7GHz,8GB
Macbook,"MacBook Air 11"" (2012)",macbook-air-11-2012,i7 2.0GHz,4GB
Macbook,"MacBook Air 11"" (2012)",macbook-air-11-2012,i7 2.0GHz,8GB
Macbook,"MacBook Air 13"" (2011)",macbook-air-13-2011,i5 1.7GHz,4GB
Macbook,"MacBook Air 13"" (2011)",macbook-air-13-2011,i7 1.8GHz,4GB
Macbook,"MacBook Air 11"" (2011)",macbook-air-11-2011,i5 1.6GHz,2GB
Macbook,"MacBook Air 11"" (2011)",macbook-air-11-2011,i5 1.6GHz,4GB
Macbook,"MacBook Air 11"" (2011)",macbook-air-11-2011,i7 1.8GHz,2GB
Macbook,"MacBook Air 11"" (2011)",macbook-air-11-2011,i7 1.8GHz,4GB
Macbook,"MacBook Air 13"" (2010)",macbook-air-13-2010,Core 2 Duo 1.86GHz,2GB
Macbook,"MacBook Air 13"" (2010)",macbook-air-13-2010,Core 2 Duo 1.86GHz,4GB
Macbook,"MacBook Air 13"" (2010)",macbook-air-13-2010,Core 2 Duo 2.13GHz,2GB
Macbook,"MacBook Air 13"" (2010)",macbook-air-13-2010,Core 2 Duo 2.13GHz,4GB
Macbook,"MacBook Air 11"" (2010)",macbook-air-11-2010,Core 2 Duo 1.4GHz,2GB
Macbook,"MacBook Air 11"" (2010)",macbook-air-11-2010,Core 2 Duo 1.4GHz,4GB
Macbook,"MacBook Air 11"" (2010)",macbook-air-11-2010,Core 2 Duo 1.6GHz,2GB
Macbook,"MacBook Air 11"" (2010)",macbook-air-11-2010,Core 2 Duo 1.6GHz,4GB
Macbook,"MacBook Air 13"" (2009)",macbook-air-13-2009,Core 2 Duo 1.86GHz,2GB
Macbook,"MacBook Air 13"" (2009)",macbook-air-13-2009,Core 2 Duo 2.13GHz,2GB
Macbook,"MacBook 12"" (2017)",macbook-12-2017,i5 1.3GHz,16GB
Macbook,"MacBook 12"" (2017)",macbook-12-2017,i5 1.3GHz,8GB
Macbook,"MacBook 12"" (2017)",macbook-12-2017,i7 1.4GHz,16GB
Macbook,"MacBook 12"" (2017)",macbook-12-2017,i7 1.4GHz,8GB
Macbook,"MacBook 12"" (2017)",macbook-12-2017,m3 1.2GHz,16GB
Macbook,"MacBook 12"" (2017)",macbook-12-2017,m3 1.2GHz,8GB
Macbook,"MacBook 12"" (2016)",macbook-12-2016,m3 1.1GHz,8GB
Macbook,"MacBook 12"" (2016)",macbook-12-2016,m5 1.2GHz,8GB
Macbook,"MacBook 12"" (2016)",macbook-12-2016,m7 1.3GHz,8GB
Macbook,"MacBook 12"" (2015)",macbook-12-2015,Core M 1.1GHz,16GB
Macbook,"MacBook 12"" (2015)",macbook-12-2015,Core M 1.1GHz,8GB
Macbook,"MacBook 12"" (2015)",macbook-12-2015,Core M 1.2GHz,16GB
Macbook,"MacBook 12"" (2015)",macbook-12-2015,Core M 1.2GHz,8GB
Macbook,"MacBook 12"" (2015)",macbook-12-2015,Core M 1.3GHz,16GB
Macbook,"MacBook 12"" (2015)",macbook-12-2015,Core M 1.3GHz,8GB
